section,task,representation,model,accuracy,learned_only,I_bits
A,spec27,autopsy_mix,logistic,0.3678,0.3172,1.755
A,spec27,autopsy_mix,random_forest,0.4491,0.4066,2.11
A,spec27,structural,logistic,0.3248,0.2575,1.599
A,spec27,structural,random_forest,0.4337,0.3756,2.16
A,spec27,overlap_profile,logistic,0.6209,0.6031,3.009
A,spec27,overlap_profile,random_forest,0.6895,0.6601,3.073
A,family,autopsy_mix,logistic,0.4879,,
A,family,autopsy_mix,random_forest,0.5979,,
A,family,structural,logistic,0.4859,,
A,family,structural,random_forest,0.6141,,
A,family,overlap_profile,logistic,0.8131,,
A,family,overlap_profile,random_forest,0.8922,,
